601519,大智慧,-2245万,71.22,2.65亿,-8.57,1.25亿,4872万,7510万,-1584万,2.85亿,-1631万,-1622万
601398,工商银行,1488亿,-11.4,4485亿,1.25,-,-,830亿,-,2593亿,1892亿,1894亿
601288,农业银行,1088亿,-10.38,3392亿,4.95,-,-,836亿,-,2065亿,1327亿,1326亿
601212,白银有色,-4.55亿,-252.36,254亿,-4.64,250亿,1.37亿,3.82亿,6.32亿,262亿,-4.11亿,-4.23亿
601162,天风证券,4.05亿,140.79,20.61亿,13.6,-,-,13.14亿,-,14.42亿,6.19亿,6.1亿
601058,赛轮轮胎,6.35亿,25.26,67.98亿,-4.15,49.13亿,4.27亿,2.9亿,1.38亿,59.36亿,7.27亿,7.01亿
601019,山东出版,4.52亿,-40.68,38.13亿,-8.91,24.92亿,3.46亿,4亿,-1207万,32.51亿,4.25亿,4.52亿
600960,渤海汽车,-2075万,-222.76,21.22亿,-16.04,18.22亿,6073万,1.08亿,4197万,21.05亿,-3482万,-3578万
600929,湖南盐业,6589万,-24.26,9.64亿,-9.55,5.06亿,2.34亿,6933万,1179万,8.88亿,8345万,7917万
600900,长江电力,79.03亿,-7.81,199亿,-2.21,87.49亿,3816万,3.52亿,24.95亿,120亿,97.47亿,95.09亿
600890,中房股份,-2838万,-93.29,16.82万,-34.98,78.6万,0,2967万,-119万,2951万,-2838万,-2838万
600816,*ST安信,-28.56亿,-24777,7225万,-84,-,-,1.44亿,-,6.48亿,-34.99亿,-38.23亿
600811,东方集团,3.56亿,1.25,66.99亿,20.03,64.55亿,8342万,1.61亿,4.18亿,71.34亿,3.54亿,3.48亿
600803,新奥股份,7.28亿,-61.74,384亿,-14.89,310亿,5.69亿,16.05亿,7.09亿,342亿,43.83亿,43.8亿
600793,宜宾纸业,-6192万,-461.46,5.66亿,-11.6,5.01亿,2896万,5118万,4799万,6.35亿,-6579万,-6192万
600783,鲁信创投,3393万,-34.59,4366万,-60.95,3319万,304万,3708万,4396万,1.21亿,2497万,2450万
